rank,strategy_name,score,walk_forward_score,validation_score,oos_pf_mean,oos_net_r_sum,positive_windows,window_count
1,SELL_EMA_RSI_ATR_0156,30.635421266045974,30.635421266045974,0,1.1508351730851691,112.99999999999875,2,2
2,SELL_EMA_RSI_ATR_0174,30.635421266045974,30.635421266045974,0,1.1508351730851691,112.99999999999875,2,2
3,SELL_EMA_RSI_ATR_0192,25.86853644887068,25.86853644887068,0,1.1340812462151058,91.99999999999817,2,2
4,SELL_EMA_RSI_ATR_0210,25.86853644887068,25.86853644887068,0,1.1340812462151058,91.99999999999817,2,2
5,SELL_EMA_RSI_ATR_0228,26.874972272012894,26.874972272012894,0,1.1316555754720405,96.49999999999761,2,2
6,SELL_EMA_RSI_ATR_0246,26.874972272012894,26.874972272012894,0,1.1316555754720405,96.49999999999761,2,2
7,SELL_EMA_RSI_ATR_0154,30.560533518472024,30.560533518472024,0,1.1208800740552651,113.00000000000236,2,2
8,SELL_EMA_RSI_ATR_0172,30.560533518472024,30.560533518472024,0,1.1208800740552651,113.00000000000236,2,2
9,SELL_EMA_RSI_ATR_0190,26.710873906058392,26.710873906058392,0,1.1110162290899246,96.00000000000111,2,2
10,SELL_EMA_RSI_ATR_0208,26.710873906058392,26.710873906058392,0,1.1110162290899246,96.00000000000111,2,2
